fragment_length	threshold_95	threshold_99
50	3.4812378989261834	4.6079895205351935
51	3.2574360186271796	4.297945488543542
52	3.166909584620896	4.281921471151525
53	3.130682077940447	4.218311607076773
54	3.0162563230755524	4.06997836741985
55	2.98062098019296	3.907584375548396
56	3.004345290153418	3.9699571220348244
57	3.048122217336399	4.067045797505739
58	3.0907948169191357	4.111486574901686
59	3.1554982394011346	4.205090473661745
60	3.1317440106754826	4.237353715477831
61	2.9937948956532083	3.968893783658739
62	2.8965246686853705	3.9032404914300596
63	2.699973083603803	3.5745339740627258
64	2.659302641264764	3.5534843173547594
65	2.6022340768554195	3.4517808417797373
66	2.5064002557360485	3.3180739911700536
67	2.451707929143211	3.2463106469231464
68	2.507151264566355	3.3583971133886363
69	2.4759022052940067	3.3201730317971823
70	2.4744834228773236	3.298088467749771
71	2.386119523544628	3.2168961113642642
72	2.327910213283121	3.1519186480782495
73	2.240080491737636	3.0291659284926227
74	2.17146149489854	2.9022156759027604
75	2.1549044038399114	2.871323535425724
76	2.103858094073138	2.8136802491875073
77	1.979691637333415	2.5451584483632783
78	1.9416587272791284	2.4713156402469236
79	1.956779092519474	2.4554401887545554
80	1.9107165126172228	2.3753153619190073
81	1.853312393170901	2.2883505005150218
82	1.8164691782582347	2.2470226502593937
83	1.7325358127908745	2.155003131697093
84	1.6609403214407645	2.0391728495729042
85	1.64140937766055	2.0137309304735638
86	1.6091925314260038	1.9801852711997894
87	1.5702978783959824	1.9213097428492878
88	1.56534984074911	1.899839149853362
89	1.566340620077336	1.8769347031047163
90	1.5643286832731325	1.8335064714128515
91	1.547766925327755	1.804805432391934
92	1.531725552920457	1.7682706110822752
93	1.5092809108825118	1.7385372339854483
94	1.4434070636956546	1.6575129121164551
95	1.4047586315959	1.6287715709222632
96	1.3927612050249174	1.588932156920454
97	1.3817231753853219	1.5729067768804068
98	1.3836246521587445	1.582728489154663
99	1.3827021093849892	1.585696929970177
100	1.37828682656665	1.5701264368682124
101	1.3717650473827208	1.5687969346467974
102	1.3612845350369172	1.548417976060645
103	1.3428071055083226	1.5243128072139094
104	1.33727619279012	1.5103818262172963
105	1.3298535632978759	1.4996604225917907
106	1.3222199174836247	1.4909261881181324
107	1.3191733735692386	1.4818927921995213
108	1.3165420907994916	1.4762236094765626
109	1.316848409457356	1.4744017783145058
110	1.3156930688971242	1.4738909113254766
111	1.3108645103355705	1.4714406232536812
112	1.305776346032068	1.4644442896608536
113	1.2987937015075868	1.460176063222744
114	1.2938446744350536	1.4536098412125986
115	1.2876648856935708	1.447594180147244
116	1.2837708333436402	1.4356579392241295
117	1.2799487294598502	1.4261279754228626
118	1.276297214327716	1.4107385929406864
119	1.2725452707393898	1.402155551173602
120	1.2673963904508732	1.3965231731713539
121	1.2669340416036516	1.389867354026216
122	1.263706787119914	1.386391337280616
123	1.2594342131038627	1.3824223742886188
124	1.254733321300097	1.3889511769606466
125	1.270289607637749	1.4021627849963283
126	1.2812687639567342	1.427906346489388
127	1.281060664838403	1.4283620108264554
128	1.2726097680602821	1.4166969538114527
129	1.2594351616164345	1.3904263982051133
